session_id,x,y,time,event_type,label
_gsn59mbfq,209,121,923,move,human
_gsn59mbfq,173,92,978,move,human
_gsn59mbfq,109,69,1034,move,human
_gsn59mbfq,50,50,1087,move,human
_gsn59mbfq,34,40,1138,move,human
_gsn59mbfq,30,24,1194,move,human
_gsn59mbfq,25,10,1249,move,human
_gsn59mbfq,23,6,1760,move,human
_gsn59mbfq,23,8,2226,move,human
_gsn59mbfq,23,12,2278,move,human
_gsn59mbfq,24,13,2341,move,human
,23,5,1729181484037,click,human
,23,7,1729181484331,click,human
_d2twfjoop,837,637,63,move,human
_d2twfjoop,829,624,117,move,human
_d2twfjoop,762,512,172,move,human
_d2twfjoop,617,405,228,move,human
_d2twfjoop,463,316,283,move,human
_d2twfjoop,358,240,339,move,human
_d2twfjoop,287,173,395,move,human
_d2twfjoop,249,141,450,move,human
_d2twfjoop,201,115,506,move,human
_d2twfjoop,127,96,562,move,human
_d2twfjoop,79,83,617,move,human
_d2twfjoop,60,72,673,move,human
_d2twfjoop,49,59,735,move,human
_d2twfjoop,42,39,791,move,human
_d2twfjoop,36,31,844,move,human
_d2twfjoop,35,28,904,move,human
_d2twfjoop,35,25,956,move,human
_d2twfjoop,34,23,1049,move,human
_6blsdg4zz,1045,748,51,move,human
_6blsdg4zz,844,651,106,move,human
_6blsdg4zz,596,534,162,move,human
_6blsdg4zz,450,418,217,move,human
_6blsdg4zz,360,307,273,move,human
_6blsdg4zz,304,191,329,move,human
_6blsdg4zz,205,90,384,move,human
_6blsdg4zz,18,0,854,move,human
_6blsdg4zz,39,26,906,move,human
_6blsdg4zz,45,32,1092,move,human
_6blsdg4zz,41,27,1148,move,human
_6blsdg4zz,37,13,1204,move,human
_6blsdg4zz,35,13,1348,move,human
_bmye2cme1,903,730,54,move,human
_bmye2cme1,803,672,110,move,human
_bmye2cme1,725,627,165,move,human
_bmye2cme1,616,540,221,move,human
_bmye2cme1,379,402,277,move,human
_bmye2cme1,174,312,334,move,human
_bmye2cme1,91,227,389,move,human
_bmye2cme1,51,128,444,move,human
_bmye2cme1,46,84,499,move,human
_bmye2cme1,32,46,556,move,human
_bmye2cme1,21,34,610,move,human
_bmye2cme1,16,23,722,move,human
_bmye2cme1,22,9,1000,move,human
_bmye2cme1,25,8,1055,move,human
_bmye2cme1,30,12,1111,move,human
_bmye2cme1,34,16,1164,move,human
_bmye2cme1,36,19,1215,move,human
_n3y14mfhc,945,744,51,move,human
_n3y14mfhc,829,731,107,move,human
_n3y14mfhc,766,699,162,move,human
_n3y14mfhc,663,605,218,move,human
_n3y14mfhc,499,425,273,move,human
_n3y14mfhc,315,298,332,move,human
_n3y14mfhc,207,226,385,move,human
_n3y14mfhc,92,173,440,move,human
_n3y14mfhc,82,161,496,move,human
_n3y14mfhc,51,107,551,move,human
_n3y14mfhc,40,85,607,move,human
_n3y14mfhc,30,56,663,move,human
_n3y14mfhc,25,51,718,move,human
_n3y14mfhc,22,46,811,move,human
_n3y14mfhc,37,19,864,move,human
_ivils4vav,1722,364,54,move,human
_ivils4vav,1359,347,111,move,human
_ivils4vav,1000,344,166,move,human
_ivils4vav,689,291,222,move,human
_ivils4vav,440,192,278,move,human
_ivils4vav,209,71,333,move,human
_ivils4vav,43,36,389,move,human
_ivils4vav,9,31,445,move,human
_ivils4vav,5,31,609,move,human
_ivils4vav,20,16,660,move,human
_ivils4vav,23,14,911,move,human
_ivils4vav,26,15,976,move,human
_ivils4vav,30,18,1028,move,human
_ivils4vav,37,23,1098,move,human
_jub5io6wt,386,659,53,move,human
_jub5io6wt,259,442,108,move,human
_jub5io6wt,162,265,164,move,human
_jub5io6wt,115,146,220,move,human
_jub5io6wt,83,83,275,move,human
_jub5io6wt,75,61,348,move,human
_jub5io6wt,64,41,400,move,human
_jub5io6wt,62,38,477,move,human
_jub5io6wt,56,32,589,move,human
_jub5io6wt,44,12,644,move,human
_jub5io6wt,40,6,699,move,human
_jub5io6wt,35,0,871,move,human
_jub5io6wt,37,15,922,move,human
_31631ek6c,610,872,54,move,human
_31631ek6c,519,776,110,move,human
_31631ek6c,369,573,165,move,human
_31631ek6c,229,357,221,move,human
_31631ek6c,141,263,276,move,human
_31631ek6c,103,200,332,move,human
_31631ek6c,64,166,388,move,human
_31631ek6c,28,116,443,move,human
_31631ek6c,10,74,515,move,human
_31631ek6c,15,48,568,move,human
_31631ek6c,23,34,624,move,human
_31631ek6c,30,27,747,move,human
_ehpthllm7,1087,800,51,move,human
_ehpthllm7,895,692,107,move,human
_ehpthllm7,704,583,163,move,human
_ehpthllm7,466,435,218,move,human
_ehpthllm7,213,289,274,move,human
_ehpthllm7,113,224,329,move,human
_ehpthllm7,70,155,385,move,human
_ehpthllm7,57,129,531,move,human
_ehpthllm7,50,106,587,move,human
_ehpthllm7,44,62,642,move,human
_ehpthllm7,43,59,807,move,human
_ehpthllm7,50,36,858,move,human
_ehpthllm7,52,19,913,move,human
_ehpthllm7,52,14,1226,move,human
_6ecvchcci,1079,861,57,move,human
_6ecvchcci,703,812,113,move,human
_6ecvchcci,432,700,169,move,human
_6ecvchcci,248,523,224,move,human
_6ecvchcci,207,436,280,move,human
_6ecvchcci,188,337,335,move,human
_6ecvchcci,97,228,391,move,human
_6ecvchcci,0,6,744,move,human
_6ecvchcci,47,20,948,move,human
_6ecvchcci,46,20,1347,move,human
_6ecvchcci,46,21,1413,move,human
_xrb35pj32,1111,833,51,move,human
_xrb35pj32,744,579,107,move,human
