vitesse_moyenne,vitesse_min,vitesse_max,vitesse_ecart_type,vitesse_coefficient_variation,vitesse_range_ratio,acceleration_moyenne,acceleration_min,acceleration_max,acceleration_ecart_type,distance_totale,distance_ligne_droite,ratio_linearite,nombre_changements_direction,variance_angles,entropie_angles,label,session_id
1033.533,26.385,2166.201,620.449,0.6,0.988,-477.792,-18764.217,9997.913,6845.731,1307.107,839.434,0.642,4,0.212,2.648,human,_fx4l3v99r
1104.543,52.86,2948.373,866.514,0.784,0.982,-2681.634,-9941.782,8423.904,4990.403,1215.747,1148.496,0.945,1,0.038,2.505,human,_g02pu7jd9
1121.379,59.666,3887.605,955.818,0.852,0.985,-2059.429,-36695.996,30396.994,13368.88,1756.937,877.246,0.499,7,0.286,2.598,human,_g5789s7c2
1707.826,1.786,6961.995,2569.028,1.504,1.0,-16215.995,-69575.443,117.4,26947.281,638.243,626.86,0.982,2,0.207,1.609,human,_gbtulgne2
324.157,3.281,829.771,245.022,0.756,0.996,-81.565,-6047.975,7561.203,3019.493,1024.901,850.979,0.83,9,0.647,2.09,human,_gs4vivlgh
1158.988,4.292,3235.742,1067.112,0.921,0.999,-192.431,-18449.641,24754.52,12455.164,1223.075,880.348,0.72,6,0.51,2.322,human,_gsn59mbfq
1446.014,2.309,7455.181,2162.151,1.495,1.0,294.231,-71337.321,88132.898,30283.654,1450.489,1396.662,0.963,4,1.097,1.84,human,_gszemyjee
1158.573,9.709,3744.04,1222.693,1.055,0.997,2859.076,-15558.821,44617.223,15226.607,1408.396,951.77,0.676,4,0.244,2.139,human,_gt1w3epaz
1731.409,157.895,4125.474,1513.488,0.874,0.962,-4687.791,-19216.311,18141.916,11324.986,1011.527,953.311,0.942,1,0.03,2.043,human,_gxr38dodj
787.386,18.462,1764.021,534.332,0.679,0.99,295.279,-12811.312,30481.794,8180.563,879.958,721.886,0.82,5,0.379,2.582,human,_h3dj8j78f
265.85,1.828,755.676,209.067,0.786,0.998,-91.756,-3689.724,3623.073,1524.97,598.058,542.973,0.908,7,0.46,1.702,human,_h8hdwzgkd
524.967,107.196,981.516,332.471,0.633,0.891,-397.051,-9205.523,4247.834,2783.443,710.188,652.476,0.919,0,0.037,2.728,human,_ha6c2u3u1
463.227,10.417,1904.424,519.107,1.121,0.995,-546.73,-13966.615,15047.988,5746.684,674.334,463.062,0.687,3,0.374,1.986,human,_he36z4rao
564.234,0.0,2058.695,672.922,1.193,1.0,3015.914,-25733.694,28368.019,12048.043,840.912,576.383,0.685,5,1.567,2.303,human,_hiqya86op
1402.255,11.236,9970.601,2865.348,2.043,0.999,-7710.72,-50778.731,4874.108,16521.684,1585.677,1375.918,0.868,4,1.161,2.025,human,_hoo92s0rg
476.187,31.863,1233.813,352.82,0.741,0.974,716.025,-5009.764,15170.297,4489.637,950.5,926.389,0.975,0,0.011,2.548,human,_hq2op1196
1124.283,7.299,2419.943,842.693,0.75,0.997,-2774.66,-37754.849,11326.646,12425.925,826.943,766.164,0.927,3,0.127,2.369,human,_hrvetyzwb
638.523,18.182,1552.107,440.9,0.69,0.988,104.015,-8330.249,9253.378,4438.342,1175.684,937.934,0.798,1,0.082,1.713,human,_huz5iopi8
1875.359,84.143,5679.25,1956.167,1.043,0.985,-7655.078,-33153.416,18676.852,15914.268,1149.057,1091.349,0.95,1,0.103,2.025,human,_hvk5qe7tl
1652.117,24.696,3554.526,1091.631,0.661,0.993,-4276.923,-15376.953,1358.503,5027.997,1339.397,1329.581,0.993,1,0.312,1.519,human,_i551oekrm
